"Key","Title","Description","Status"
"2012MM10","2012 oktober","","Definitief"
"2012MM11","2012 november","","Definitief"
"2012MM12","2012 december","","Definitief"
"2012JJ00","2012 ","","Definitief"
"2013MM01","2013 januari","Definitieve cijfers.","Definitief"
"2013MM02","2013 februari","Definitieve cijfers.","Definitief"
"2013MM03","2013 maart","Definitieve cijfers.","Definitief"
"2013MM04","2013 april","Definitieve cijfers.","Definitief"
"2013MM05","2013 mei","Definitieve cijfers.","Definitief"
"2013MM06","2013 juni","Definitieve cijfers.","Definitief"
"2013MM07","2013 juli","Definitieve cijfers.","Definitief"
"2013MM08","2013 augustus","Definitieve cijfers.","Definitief"
"2013MM09","2013 september","Definitieve cijfers.","Definitief"
"2013MM10","2013 oktober","Definitieve cijfers.","Definitief"
"2013MM11","2013 november","Definitieve cijfers.","Definitief"
"2013MM12","2013 december","Definitieve cijfers.","Definitief"
"2013JJ00","2013","Definitieve cijfers.","Definitief"
"2014MM01","2014 januari","","Definitief"
"2014MM02","2014 februari","","Definitief"
"2014MM03","2014 maart","","Definitief"
"2014MM04","2014 april","","Definitief"
"2014MM05","2014 mei","","Definitief"
"2014MM06","2014 juni","","Definitief"
"2014MM07","2014 juli","","Definitief"
"2014MM08","2014 augustus","","Definitief"
"2014MM09","2014 september","","Definitief"
"2014MM10","2014 oktober","","Definitief"
"2014MM11","2014 november","","Definitief"
"2014MM12","2014 december","","Definitief"
"2014JJ00","2014","","Definitief"
"2015MM01","2015 januari","","Definitief"
"2015MM02","2015 februari","","Definitief"
"2015MM03","2015 maart","","Definitief"
"2015MM04","2015 april","","Definitief"
"2015MM05","2015 mei","","Definitief"
"2015MM06","2015 juni","","Definitief"
"2015MM07","2015 juli","","Definitief"
"2015MM08","2015 augustus","","Definitief"
"2015MM09","2015 september","","Definitief"
"2015MM10","2015 oktober","","Definitief"
"2015MM11","2015 november","","Definitief"
"2015MM12","2015 december","","Definitief"
"2015JJ00","2015","","Definitief"
"2016MM01","2016 januari","","Definitief"
"2016MM02","2016 februari","","Definitief"
"2016MM03","2016 maart","","Definitief"
"2016MM04","2016 april","","Definitief"
"2016MM05","2016 mei","","Definitief"
"2016MM06","2016 juni","","Definitief"
"2016MM07","2016 juli","","Definitief"
"2016MM08","2016 augustus","","Definitief"
"2016MM09","2016 september","","Definitief"
"2016MM10","2016 oktober","","Definitief"
"2016MM11","2016 november","","Definitief"
"2016MM12","2016 december","","Definitief"
"2016JJ00","2016","","Definitief"
"2017MM01","2017 januari","Provisional figures

Voorlopige cijfers.","Voorlopig"
"2017MM02","2017 februari","Voorlopige cijfers.","Voorlopig"
"2017MM03","2017 maart","Voorlopige cijfers.","Voorlopig"
"2017MM04","2017 april","Voorlopige cijfers.","Voorlopig"
"2017MM05","2017 mei","Voorlopige cijfers.","Voorlopig"
"2017MM06","2017 juni","Voorlopige cijfers.","Voorlopig"
"2017MM07","2017 juli","Voorlopige cijfers.","Voorlopig"
"2017MM08","2017 augustus","Voorlopige cijfers.","Voorlopig"
"2017MM09","2017 september","Voorlopige cijfers.","Voorlopig"
"2017MM10","2017 oktober","Voorlopige cijfers.","Voorlopig"
"2017MM11","2017 november","Voorlopige cijfers.","Voorlopig"
"2017JJ00","2017 januari - november","Voorlopige cijfers.","Voorlopig"
